future_recommendation,cleaned_future_recommendation,dominant_topic,rating_overall,sentiment_initial,topic_label,ratings,sentiment_final
Shorter documents as slides,shorter documents as slides,3,4.9091,positive,Negative opinions related to the amount of content within the slides used in teaching,"{'b_1_i_enjoyed_the_course': 5, 'b_2_classes_started_and_ended_on_time': 5, 'b_3_participative_learning_environment': 5, 'b_4_subject_content_delivered_according_to_course_outline_and_my_expectations': 5, 'b_5_topics_were_clear_and_logically_developed': 5, 'b_6_developed_my_oral_and_writing_skills': 4, 'b_7_developed_my_reflective_and_critical_reasoning_skills': 5, 'b_8_the_assessment_methods_assisted_me_to_learn': 5, 'b_9_received_relevant_feedback': 5, 'b_10_read_recommended_readings_and_notes': 5, 'b_11_used_the_elearning_material_posted': 5, 'c_1_principles_of_business_intelligence_and_the_dataops_philosophy': 4, 'c_2_data_engineering_and_data_analytics': 4, 'c_3_dashboarding_for_business-facing_and_customer-facing_analytics': 5, 'c_4_regression_and_classification': 4, 'c_5_clustering_and_association_rule_mining': 5, 'c_6_serving_ml_models_through_a_restish_api_using_flask_in_python': 3, 'c_7_time-series_analysis_time-series_forecasting_and_neural_networks': 5, 'c_8_natural_language_processing': 5, 'd_1_python_as_a_programming_language': 4, 'd_2_vs_code_and_pycharm_for_coding_in_python': 4, 'd_3_r_as_a_programming_language': 4, 'd_4_r_studio_for_coding_in_r': 4, 'd_5_jupyter_notebook_for_documenting_data_analytics_and_predictive_modelling_workflows': 4, 'd_6_git_and_github': 5, 'd_7_docker_for_containerization': 3, 'd_8_power_bi_for_data_visualization': 3, 'd_9_dbeaver_and_datagrip_for_data_management': 5, 'd_10_postman_for_api_testing': 4, 'd_11_flask_and_gunicorn_for_serving_ml_models': 3, 'd_12_joblib_for_serialization_and_deserialization_of_models_as_pickle_files': 3, 'd_13_slack_for_casual_communication_with_a_data_team': 5, 'e_1_group_work': 5, 'e_2_quizzes_at_the_end_of_each_module': 5, 'e_3_lab_manuals': 5, 'e_4_required_lab_work_submissions_at_the_end_of_each_module': 5, 'e_5_labs_that_require_you_to_use_git_to_work_in_a_team_as_opposed_to_working_alone': 5, 'e_6_labs_that_have_hidden_bonus_marks_or_advanced_level_submissions_for_extra_marks_in_addition_to_the_baseline': 5, 'e_7_supplementary_videos_to_watch_as_an_additional_explanation_of_a_topic': 5, 'e_8_supplementary_content_to_read': 5, 'e_9_lecture_slides_used_during_the_class': 5, 'e_10_lecture_notes_on_some_of_the_lecture_slides': 5, 'e_11_the_quality_of_the_lectures_given': 5, 'e_12_the_separation_of_theory_during_virtual_classes_and_practicals_during_in-person_classes': 5}",positive
,,0,4.8182,positive,Need for additional guidance from lecturer during labs,"{'b_1_i_enjoyed_the_course': 4, 'b_2_classes_started_and_ended_on_time': 5, 'b_3_participative_learning_environment': 5, 'b_4_subject_content_delivered_according_to_course_outline_and_my_expectations': 5, 'b_5_topics_were_clear_and_logically_developed': 5, 'b_6_developed_my_oral_and_writing_skills': 4, 'b_7_developed_my_reflective_and_critical_reasoning_skills': 5, 'b_8_the_assessment_methods_assisted_me_to_learn': 5, 'b_9_received_relevant_feedback': 5, 'b_10_read_recommended_readings_and_notes': 5, 'b_11_used_the_elearning_material_posted': 5, 'c_1_principles_of_business_intelligence_and_the_dataops_philosophy': 4, 'c_2_data_engineering_and_data_analytics': 3, 'c_3_dashboarding_for_business-facing_and_customer-facing_analytics': 4, 'c_4_regression_and_classification': 3, 'c_5_clustering_and_association_rule_mining': 3, 'c_6_serving_ml_models_through_a_restish_api_using_flask_in_python': 3, 'c_7_time-series_analysis_time-series_forecasting_and_neural_networks': 3, 'c_8_natural_language_processing': 3, 'd_1_python_as_a_programming_language': 4, 'd_2_vs_code_and_pycharm_for_coding_in_python': 4, 'd_3_r_as_a_programming_language': 4, 'd_4_r_studio_for_coding_in_r': 4, 'd_5_jupyter_notebook_for_documenting_data_analytics_and_predictive_modelling_workflows': 3, 'd_6_git_and_github': 4, 'd_7_docker_for_containerization': 3, 'd_8_power_bi_for_data_visualization': 4, 'd_9_dbeaver_and_datagrip_for_data_management': 4, 'd_10_postman_for_api_testing': 3, 'd_11_flask_and_gunicorn_for_serving_ml_models': 3, 'd_12_joblib_for_serialization_and_deserialization_of_models_as_pickle_files': 3, 'd_13_slack_for_casual_communication_with_a_data_team': 4, 'e_1_group_work': 5, 'e_2_quizzes_at_the_end_of_each_module': 5, 'e_3_lab_manuals': 5, 'e_4_required_lab_work_submissions_at_the_end_of_each_module': 5, 'e_5_labs_that_require_you_to_use_git_to_work_in_a_team_as_opposed_to_working_alone': 5, 'e_6_labs_that_have_hidden_bonus_marks_or_advanced_level_submissions_for_extra_marks_in_addition_to_the_baseline': 5, 'e_7_supplementary_videos_to_watch_as_an_additional_explanation_of_a_topic': 5, 'e_8_supplementary_content_to_read': 5, 'e_9_lecture_slides_used_during_the_class': 5, 'e_10_lecture_notes_on_some_of_the_lecture_slides': 5, 'e_11_the_quality_of_the_lectures_given': 5, 'e_12_the_separation_of_theory_during_virtual_classes_and_practicals_during_in-person_classes': 5}",positive
Please the notes are alot and if it's a sitin cat if alot is covered kindly consider open book cats.,please the notes are alot and if its a sitin cat if alot is covered kindly consider open book cats,1,4.5455,neutral,Practical applications of taught content,"{'b_1_i_enjoyed_the_course': 5, 'b_2_classes_started_and_ended_on_time': 5, 'b_3_participative_learning_environment': 5, 'b_4_subject_content_delivered_according_to_course_outline_and_my_expectations': 5, 'b_5_topics_were_clear_and_logically_developed': 5, 'b_6_developed_my_oral_and_writing_skills': 2, 'b_7_developed_my_reflective_and_critical_reasoning_skills': 5, 'b_8_the_assessment_methods_assisted_me_to_learn': 4, 'b_9_received_relevant_feedback': 4, 'b_10_read_recommended_readings_and_notes': 5, 'b_11_used_the_elearning_material_posted': 5, 'c_1_principles_of_business_intelligence_and_the_dataops_philosophy': 3, 'c_2_data_engineering_and_data_analytics': 4, 'c_3_dashboarding_for_business-facing_and_customer-facing_analytics': 5, 'c_4_regression_and_classification': 4, 'c_5_clustering_and_association_rule_mining': 5, 'c_6_serving_ml_models_through_a_restish_api_using_flask_in_python': 3, 'c_7_time-series_analysis_time-series_forecasting_and_neural_networks': 5, 'c_8_natural_language_processing': 4, 'd_1_python_as_a_programming_language': 3, 'd_2_vs_code_and_pycharm_for_coding_in_python': 3, 'd_3_r_as_a_programming_language': 3, 'd_4_r_studio_for_coding_in_r': 3, 'd_5_jupyter_notebook_for_documenting_data_analytics_and_predictive_modelling_workflows': 3, 'd_6_git_and_github': 4, 'd_7_docker_for_containerization': 4, 'd_8_power_bi_for_data_visualization': 5, 'd_9_dbeaver_and_datagrip_for_data_management': 2, 'd_10_postman_for_api_testing': 2, 'd_11_flask_and_gunicorn_for_serving_ml_models': 4, 'd_12_joblib_for_serialization_and_deserialization_of_models_as_pickle_files': 3, 'd_13_slack_for_casual_communication_with_a_data_team': 3, 'e_1_group_work': 5, 'e_2_quizzes_at_the_end_of_each_module': 5, 'e_3_lab_manuals': 5, 'e_4_required_lab_work_submissions_at_the_end_of_each_module': 4, 'e_5_labs_that_require_you_to_use_git_to_work_in_a_team_as_opposed_to_working_alone': 4, 'e_6_labs_that_have_hidden_bonus_marks_or_advanced_level_submissions_for_extra_marks_in_addition_to_the_baseline': 5, 'e_7_supplementary_videos_to_watch_as_an_additional_explanation_of_a_topic': 5, 'e_8_supplementary_content_to_read': 5, 'e_9_lecture_slides_used_during_the_class': 5, 'e_10_lecture_notes_on_some_of_the_lecture_slides': 5, 'e_11_the_quality_of_the_lectures_given': 5, 'e_12_the_separation_of_theory_during_virtual_classes_and_practicals_during_in-person_classes': 5}",positive
There is so much content in this unit as a whole and the theory becomes hard to grasp,there is so much content in this unit as a whole and the theory becomes hard to grasp,1,4.7273,positive,Practical applications of taught content,"{'b_1_i_enjoyed_the_course': 4, 'b_2_classes_started_and_ended_on_time': 5, 'b_3_participative_learning_environment': 5, 'b_4_subject_content_delivered_according_to_course_outline_and_my_expectations': 5, 'b_5_topics_were_clear_and_logically_developed': 5, 'b_6_developed_my_oral_and_writing_skills': 3, 'b_7_developed_my_reflective_and_critical_reasoning_skills': 5, 'b_8_the_assessment_methods_assisted_me_to_learn': 5, 'b_9_received_relevant_feedback': 5, 'b_10_read_recommended_readings_and_notes': 5, 'b_11_used_the_elearning_material_posted': 5, 'c_1_principles_of_business_intelligence_and_the_dataops_philosophy': 4, 'c_2_data_engineering_and_data_analytics': 4, 'c_3_dashboarding_for_business-facing_and_customer-facing_analytics': 4, 'c_4_regression_and_classification': 4, 'c_5_clustering_and_association_rule_mining': 4, 'c_6_serving_ml_models_through_a_restish_api_using_flask_in_python': 4, 'c_7_time-series_analysis_time-series_forecasting_and_neural_networks': 3, 'c_8_natural_language_processing': 2, 'd_1_python_as_a_programming_language': 4, 'd_2_vs_code_and_pycharm_for_coding_in_python': 5, 'd_3_r_as_a_programming_language': 3, 'd_4_r_studio_for_coding_in_r': 3, 'd_5_jupyter_notebook_for_documenting_data_analytics_and_predictive_modelling_workflows': 4, 'd_6_git_and_github': 5, 'd_7_docker_for_containerization': 3, 'd_8_power_bi_for_data_visualization': 3, 'd_9_dbeaver_and_datagrip_for_data_management': 3, 'd_10_postman_for_api_testing': 3, 'd_11_flask_and_gunicorn_for_serving_ml_models': 5, 'd_12_joblib_for_serialization_and_deserialization_of_models_as_pickle_files': 3, 'd_13_slack_for_casual_communication_with_a_data_team': 3, 'e_1_group_work': 5, 'e_2_quizzes_at_the_end_of_each_module': 5, 'e_3_lab_manuals': 5, 'e_4_required_lab_work_submissions_at_the_end_of_each_module': 5, 'e_5_labs_that_require_you_to_use_git_to_work_in_a_team_as_opposed_to_working_alone': 5, 'e_6_labs_that_have_hidden_bonus_marks_or_advanced_level_submissions_for_extra_marks_in_addition_to_the_baseline': 5, 'e_7_supplementary_videos_to_watch_as_an_additional_explanation_of_a_topic': 5, 'e_8_supplementary_content_to_read': 5, 'e_9_lecture_slides_used_during_the_class': 5, 'e_10_lecture_notes_on_some_of_the_lecture_slides': 5, 'e_11_the_quality_of_the_lectures_given': 5, 'e_12_the_separation_of_theory_during_virtual_classes_and_practicals_during_in-person_classes': 5}",positive
The answers for the quiz should be provided after like we've done them for revision purposes,the answers for the quiz should be provided after like weve done them for revision purposes,2,4.6364,positive,Miscallaneous comments regarding CATs and explanations of content,"{'b_1_i_enjoyed_the_course': 5, 'b_2_classes_started_and_ended_on_time': 5, 'b_3_participative_learning_environment': 5, 'b_4_subject_content_delivered_according_to_course_outline_and_my_expectations': 5, 'b_5_topics_were_clear_and_logically_developed': 5, 'b_6_developed_my_oral_and_writing_skills': 3, 'b_7_developed_my_reflective_and_critical_reasoning_skills': 5, 'b_8_the_assessment_methods_assisted_me_to_learn': 5, 'b_9_received_relevant_feedback': 5, 'b_10_read_recommended_readings_and_notes': 3, 'b_11_used_the_elearning_material_posted': 5, 'c_1_principles_of_business_intelligence_and_the_dataops_philosophy': 5, 'c_2_data_engineering_and_data_analytics': 4, 'c_3_dashboarding_for_business-facing_and_customer-facing_analytics': 4, 'c_4_regression_and_classification': 3, 'c_5_clustering_and_association_rule_mining': 5, 'c_6_serving_ml_models_through_a_restish_api_using_flask_in_python': 5, 'c_7_time-series_analysis_time-series_forecasting_and_neural_networks': 5, 'c_8_natural_language_processing': 4, 'd_1_python_as_a_programming_language': 3, 'd_2_vs_code_and_pycharm_for_coding_in_python': 4, 'd_3_r_as_a_programming_language': 3, 'd_4_r_studio_for_coding_in_r': 2, 'd_5_jupyter_notebook_for_documenting_data_analytics_and_predictive_modelling_workflows': 3, 'd_6_git_and_github': 4, 'd_7_docker_for_containerization': 2, 'd_8_power_bi_for_data_visualization': 2, 'd_9_dbeaver_and_datagrip_for_data_management': 1, 'd_10_postman_for_api_testing': 4, 'd_11_flask_and_gunicorn_for_serving_ml_models': 4, 'd_12_joblib_for_serialization_and_deserialization_of_models_as_pickle_files': 3, 'd_13_slack_for_casual_communication_with_a_data_team': 5, 'e_1_group_work': 4, 'e_2_quizzes_at_the_end_of_each_module': 5, 'e_3_lab_manuals': 4, 'e_4_required_lab_work_submissions_at_the_end_of_each_module': 4, 'e_5_labs_that_require_you_to_use_git_to_work_in_a_team_as_opposed_to_working_alone': 4, 'e_6_labs_that_have_hidden_bonus_marks_or_advanced_level_submissions_for_extra_marks_in_addition_to_the_baseline': 4, 'e_7_supplementary_videos_to_watch_as_an_additional_explanation_of_a_topic': 5, 'e_8_supplementary_content_to_read': 4, 'e_9_lecture_slides_used_during_the_class': 5, 'e_10_lecture_notes_on_some_of_the_lecture_slides': 5, 'e_11_the_quality_of_the_lectures_given': 5, 'e_12_the_separation_of_theory_during_virtual_classes_and_practicals_during_in-person_classes': 4}",positive
To reduce the contents of the notes the pages are too much,to reduce the contents of the notes the pages are too much,3,4.7273,positive,Negative opinions related to the amount of content within the slides used in teaching,"{'b_1_i_enjoyed_the_course': 3, 'b_2_classes_started_and_ended_on_time': 5, 'b_3_participative_learning_environment': 5, 'b_4_subject_content_delivered_according_to_course_outline_and_my_expectations': 5, 'b_5_topics_were_clear_and_logically_developed': 5, 'b_6_developed_my_oral_and_writing_skills': 5, 'b_7_developed_my_reflective_and_critical_reasoning_skills': 5, 'b_8_the_assessment_methods_assisted_me_to_learn': 4, 'b_9_received_relevant_feedback': 5, 'b_10_read_recommended_readings_and_notes': 5, 'b_11_used_the_elearning_material_posted': 5, 'c_1_principles_of_business_intelligence_and_the_dataops_philosophy': 4, 'c_2_data_engineering_and_data_analytics': 4, 'c_3_dashboarding_for_business-facing_and_customer-facing_analytics': 4, 'c_4_regression_and_classification': 4, 'c_5_clustering_and_association_rule_mining': 4, 'c_6_serving_ml_models_through_a_restish_api_using_flask_in_python': 4, 'c_7_time-series_analysis_time-series_forecasting_and_neural_networks': 4, 'c_8_natural_language_processing': 4, 'd_1_python_as_a_programming_language': 5, 'd_2_vs_code_and_pycharm_for_coding_in_python': 4, 'd_3_r_as_a_programming_language': 4, 'd_4_r_studio_for_coding_in_r': 4, 'd_5_jupyter_notebook_for_documenting_data_analytics_and_predictive_modelling_workflows': 4, 'd_6_git_and_github': 4, 'd_7_docker_for_containerization': 4, 'd_8_power_bi_for_data_visualization': 4, 'd_9_dbeaver_and_datagrip_for_data_management': 4, 'd_10_postman_for_api_testing': 4, 'd_11_flask_and_gunicorn_for_serving_ml_models': 4, 'd_12_joblib_for_serialization_and_deserialization_of_models_as_pickle_files': 4, 'd_13_slack_for_casual_communication_with_a_data_team': 4, 'e_1_group_work': 4, 'e_2_quizzes_at_the_end_of_each_module': 4, 'e_3_lab_manuals': 4, 'e_4_required_lab_work_submissions_at_the_end_of_each_module': 4, 'e_5_labs_that_require_you_to_use_git_to_work_in_a_team_as_opposed_to_working_alone': 4, 'e_6_labs_that_have_hidden_bonus_marks_or_advanced_level_submissions_for_extra_marks_in_addition_to_the_baseline': 4, 'e_7_supplementary_videos_to_watch_as_an_additional_explanation_of_a_topic': 4, 'e_8_supplementary_content_to_read': 4, 'e_9_lecture_slides_used_during_the_class': 4, 'e_10_lecture_notes_on_some_of_the_lecture_slides': 4, 'e_11_the_quality_of_the_lectures_given': 4, 'e_12_the_separation_of_theory_during_virtual_classes_and_practicals_during_in-person_classes': 4}",positive
take away assignments,take away assignments,1,4.0,neutral,Practical applications of taught content,"{'b_1_i_enjoyed_the_course': 4, 'b_2_classes_started_and_ended_on_time': 4, 'b_3_participative_learning_environment': 4, 'b_4_subject_content_delivered_according_to_course_outline_and_my_expectations': 4, 'b_5_topics_were_clear_and_logically_developed': 4, 'b_6_developed_my_oral_and_writing_skills': 3, 'b_7_developed_my_reflective_and_critical_reasoning_skills': 4, 'b_8_the_assessment_methods_assisted_me_to_learn': 5, 'b_9_received_relevant_feedback': 5, 'b_10_read_recommended_readings_and_notes': 3, 'b_11_used_the_elearning_material_posted': 4, 'c_1_principles_of_business_intelligence_and_the_dataops_philosophy': 5, 'c_2_data_engineering_and_data_analytics': 4, 'c_3_dashboarding_for_business-facing_and_customer-facing_analytics': 5, 'c_4_regression_and_classification': 4, 'c_5_clustering_and_association_rule_mining': 5, 'c_6_serving_ml_models_through_a_restish_api_using_flask_in_python': 4, 'c_7_time-series_analysis_time-series_forecasting_and_neural_networks': 5, 'c_8_natural_language_processing': 4, 'd_1_python_as_a_programming_language': 5, 'd_2_vs_code_and_pycharm_for_coding_in_python': 5, 'd_3_r_as_a_programming_language': 4, 'd_4_r_studio_for_coding_in_r': 3, 'd_5_jupyter_notebook_for_documenting_data_analytics_and_predictive_modelling_workflows': 5, 'd_6_git_and_github': 5, 'd_7_docker_for_containerization': 5, 'd_8_power_bi_for_data_visualization': 5, 'd_9_dbeaver_and_datagrip_for_data_management': 4, 'd_10_postman_for_api_testing': 4, 'd_11_flask_and_gunicorn_for_serving_ml_models': 4, 'd_12_joblib_for_serialization_and_deserialization_of_models_as_pickle_files': 5, 'd_13_slack_for_casual_communication_with_a_data_team': 4, 'e_1_group_work': 4, 'e_2_quizzes_at_the_end_of_each_module': 3, 'e_3_lab_manuals': 4, 'e_4_required_lab_work_submissions_at_the_end_of_each_module': 3, 'e_5_labs_that_require_you_to_use_git_to_work_in_a_team_as_opposed_to_working_alone': 4, 'e_6_labs_that_have_hidden_bonus_marks_or_advanced_level_submissions_for_extra_marks_in_addition_to_the_baseline': 5, 'e_7_supplementary_videos_to_watch_as_an_additional_explanation_of_a_topic': 5, 'e_8_supplementary_content_to_read': 5, 'e_9_lecture_slides_used_during_the_class': 3, 'e_10_lecture_notes_on_some_of_the_lecture_slides': 3, 'e_11_the_quality_of_the_lectures_given': 4, 'e_12_the_separation_of_theory_during_virtual_classes_and_practicals_during_in-person_classes': 4}",positive
Less slides,less slides,3,4.0909,neutral,Negative opinions related to the amount of content within the slides used in teaching,"{'b_1_i_enjoyed_the_course': 3, 'b_2_classes_started_and_ended_on_time': 5, 'b_3_participative_learning_environment': 4, 'b_4_subject_content_delivered_according_to_course_outline_and_my_expectations': 4, 'b_5_topics_were_clear_and_logically_developed': 4, 'b_6_developed_my_oral_and_writing_skills': 5, 'b_7_developed_my_reflective_and_critical_reasoning_skills': 4, 'b_8_the_assessment_methods_assisted_me_to_learn': 4, 'b_9_received_relevant_feedback': 4, 'b_10_read_recommended_readings_and_notes': 4, 'b_11_used_the_elearning_material_posted': 4, 'c_1_principles_of_business_intelligence_and_the_dataops_philosophy': 3, 'c_2_data_engineering_and_data_analytics': 3, 'c_3_dashboarding_for_business-facing_and_customer-facing_analytics': 3, 'c_4_regression_and_classification': 3, 'c_5_clustering_and_association_rule_mining': 3, 'c_6_serving_ml_models_through_a_restish_api_using_flask_in_python': 3, 'c_7_time-series_analysis_time-series_forecasting_and_neural_networks': 3, 'c_8_natural_language_processing': 3, 'd_1_python_as_a_programming_language': 4, 'd_2_vs_code_and_pycharm_for_coding_in_python': 4, 'd_3_r_as_a_programming_language': 3, 'd_4_r_studio_for_coding_in_r': 3, 'd_5_jupyter_notebook_for_documenting_data_analytics_and_predictive_modelling_workflows': 4, 'd_6_git_and_github': 4, 'd_7_docker_for_containerization': 3, 'd_8_power_bi_for_data_visualization': 4, 'd_9_dbeaver_and_datagrip_for_data_management': 3, 'd_10_postman_for_api_testing': 3, 'd_11_flask_and_gunicorn_for_serving_ml_models': 3, 'd_12_joblib_for_serialization_and_deserialization_of_models_as_pickle_files': 3, 'd_13_slack_for_casual_communication_with_a_data_team': 3, 'e_1_group_work': 4, 'e_2_quizzes_at_the_end_of_each_module': 4, 'e_3_lab_manuals': 4, 'e_4_required_lab_work_submissions_at_the_end_of_each_module': 4, 'e_5_labs_that_require_you_to_use_git_to_work_in_a_team_as_opposed_to_working_alone': 4, 'e_6_labs_that_have_hidden_bonus_marks_or_advanced_level_submissions_for_extra_marks_in_addition_to_the_baseline': 4, 'e_7_supplementary_videos_to_watch_as_an_additional_explanation_of_a_topic': 4, 'e_8_supplementary_content_to_read': 4, 'e_9_lecture_slides_used_during_the_class': 4, 'e_10_lecture_notes_on_some_of_the_lecture_slides': 4, 'e_11_the_quality_of_the_lectures_given': 4, 'e_12_the_separation_of_theory_during_virtual_classes_and_practicals_during_in-person_classes': 4}",positive
,,0,4.2727,neutral,Need for additional guidance from lecturer during labs,"{'b_1_i_enjoyed_the_course': 4, 'b_2_classes_started_and_ended_on_time': 5, 'b_3_participative_learning_environment': 5, 'b_4_subject_content_delivered_according_to_course_outline_and_my_expectations': 5, 'b_5_topics_were_clear_and_logically_developed': 3, 'b_6_developed_my_oral_and_writing_skills': 3, 'b_7_developed_my_reflective_and_critical_reasoning_skills': 4, 'b_8_the_assessment_methods_assisted_me_to_learn': 4, 'b_9_received_relevant_feedback': 4, 'b_10_read_recommended_readings_and_notes': 5, 'b_11_used_the_elearning_material_posted': 5, 'c_1_principles_of_business_intelligence_and_the_dataops_philosophy': 5, 'c_2_data_engineering_and_data_analytics': 5, 'c_3_dashboarding_for_business-facing_and_customer-facing_analytics': 5, 'c_4_regression_and_classification': 4, 'c_5_clustering_and_association_rule_mining': 5, 'c_6_serving_ml_models_through_a_restish_api_using_flask_in_python': 4, 'c_7_time-series_analysis_time-series_forecasting_and_neural_networks': 4, 'c_8_natural_language_processing': 4, 'd_1_python_as_a_programming_language': 3, 'd_2_vs_code_and_pycharm_for_coding_in_python': 3, 'd_3_r_as_a_programming_language': 2, 'd_4_r_studio_for_coding_in_r': 2, 'd_5_jupyter_notebook_for_documenting_data_analytics_and_predictive_modelling_workflows': 4, 'd_6_git_and_github': 3, 'd_7_docker_for_containerization': 3, 'd_8_power_bi_for_data_visualization': 4, 'd_9_dbeaver_and_datagrip_for_data_management': 3, 'd_10_postman_for_api_testing': 4, 'd_11_flask_and_gunicorn_for_serving_ml_models': 3, 'd_12_joblib_for_serialization_and_deserialization_of_models_as_pickle_files': 3, 'd_13_slack_for_casual_communication_with_a_data_team': 3, 'e_1_group_work': 3, 'e_2_quizzes_at_the_end_of_each_module': 4, 'e_3_lab_manuals': 3, 'e_4_required_lab_work_submissions_at_the_end_of_each_module': 3, 'e_5_labs_that_require_you_to_use_git_to_work_in_a_team_as_opposed_to_working_alone': 3, 'e_6_labs_that_have_hidden_bonus_marks_or_advanced_level_submissions_for_extra_marks_in_addition_to_the_baseline': 3, 'e_7_supplementary_videos_to_watch_as_an_additional_explanation_of_a_topic': 3, 'e_8_supplementary_content_to_read': 3, 'e_9_lecture_slides_used_during_the_class': 4, 'e_10_lecture_notes_on_some_of_the_lecture_slides': 3, 'e_11_the_quality_of_the_lectures_given': 3, 'e_12_the_separation_of_theory_during_virtual_classes_and_practicals_during_in-person_classes': 3}",positive
"I feel like for this unit it should be held in parts of the school where the WIFI is 
stable",i feel like for this unit it should be held in parts of the school where the wifi is stable,2,4.6364,positive,Miscallaneous comments regarding CATs and explanations of content,"{'b_1_i_enjoyed_the_course': 4, 'b_2_classes_started_and_ended_on_time': 5, 'b_3_participative_learning_environment': 5, 'b_4_subject_content_delivered_according_to_course_outline_and_my_expectations': 5, 'b_5_topics_were_clear_and_logically_developed': 5, 'b_6_developed_my_oral_and_writing_skills': 4, 'b_7_developed_my_reflective_and_critical_reasoning_skills': 4, 'b_8_the_assessment_methods_assisted_me_to_learn': 4, 'b_9_received_relevant_feedback': 5, 'b_10_read_recommended_readings_and_notes': 5, 'b_11_used_the_elearning_material_posted': 5, 'c_1_principles_of_business_intelligence_and_the_dataops_philosophy': 3, 'c_2_data_engineering_and_data_analytics': 4, 'c_3_dashboarding_for_business-facing_and_customer-facing_analytics': 3, 'c_4_regression_and_classification': 4, 'c_5_clustering_and_association_rule_mining': 4, 'c_6_serving_ml_models_through_a_restish_api_using_flask_in_python': 3, 'c_7_time-series_analysis_time-series_forecasting_and_neural_networks': 5, 'c_8_natural_language_processing': 4, 'd_1_python_as_a_programming_language': 3, 'd_2_vs_code_and_pycharm_for_coding_in_python': 5, 'd_3_r_as_a_programming_language': 4, 'd_4_r_studio_for_coding_in_r': 5, 'd_5_jupyter_notebook_for_documenting_data_analytics_and_predictive_modelling_workflows': 5, 'd_6_git_and_github': 4, 'd_7_docker_for_containerization': 3, 'd_8_power_bi_for_data_visualization': 4, 'd_9_dbeaver_and_datagrip_for_data_management': 5, 'd_10_postman_for_api_testing': 4, 'd_11_flask_and_gunicorn_for_serving_ml_models': 4, 'd_12_joblib_for_serialization_and_deserialization_of_models_as_pickle_files': 5, 'd_13_slack_for_casual_communication_with_a_data_team': 5, 'e_1_group_work': 5, 'e_2_quizzes_at_the_end_of_each_module': 4, 'e_3_lab_manuals': 5, 'e_4_required_lab_work_submissions_at_the_end_of_each_module': 5, 'e_5_labs_that_require_you_to_use_git_to_work_in_a_team_as_opposed_to_working_alone': 4, 'e_6_labs_that_have_hidden_bonus_marks_or_advanced_level_submissions_for_extra_marks_in_addition_to_the_baseline': 5, 'e_7_supplementary_videos_to_watch_as_an_additional_explanation_of_a_topic': 5, 'e_8_supplementary_content_to_read': 4, 'e_9_lecture_slides_used_during_the_class': 5, 'e_10_lecture_notes_on_some_of_the_lecture_slides': 5, 'e_11_the_quality_of_the_lectures_given': 4, 'e_12_the_separation_of_theory_during_virtual_classes_and_practicals_during_in-person_classes': 5}",positive
Breaking down of topics with many slides will help. I think the brain gets drained when we see very many slides on one topic alone,breaking down of topics with many slides will help i think the brain gets drained when we see very many slides on one topic alone,1,4.6364,positive,Practical applications of taught content,"{'b_1_i_enjoyed_the_course': 5, 'b_2_classes_started_and_ended_on_time': 5, 'b_3_participative_learning_environment': 5, 'b_4_subject_content_delivered_according_to_course_outline_and_my_expectations': 4, 'b_5_topics_were_clear_and_logically_developed': 5, 'b_6_developed_my_oral_and_writing_skills': 5, 'b_7_developed_my_reflective_and_critical_reasoning_skills': 4, 'b_8_the_assessment_methods_assisted_me_to_learn': 5, 'b_9_received_relevant_feedback': 4, 'b_10_read_recommended_readings_and_notes': 4, 'b_11_used_the_elearning_material_posted': 5, 'c_1_principles_of_business_intelligence_and_the_dataops_philosophy': 5, 'c_2_data_engineering_and_data_analytics': 5, 'c_3_dashboarding_for_business-facing_and_customer-facing_analytics': 3, 'c_4_regression_and_classification': 4, 'c_5_clustering_and_association_rule_mining': 5, 'c_6_serving_ml_models_through_a_restish_api_using_flask_in_python': 5, 'c_7_time-series_analysis_time-series_forecasting_and_neural_networks': 5, 'c_8_natural_language_processing': 4, 'd_1_python_as_a_programming_language': 5, 'd_2_vs_code_and_pycharm_for_coding_in_python': 5, 'd_3_r_as_a_programming_language': 3, 'd_4_r_studio_for_coding_in_r': 3, 'd_5_jupyter_notebook_for_documenting_data_analytics_and_predictive_modelling_workflows': 4, 'd_6_git_and_github': 4, 'd_7_docker_for_containerization': 3, 'd_8_power_bi_for_data_visualization': 4, 'd_9_dbeaver_and_datagrip_for_data_management': 3, 'd_10_postman_for_api_testing': 4, 'd_11_flask_and_gunicorn_for_serving_ml_models': 5, 'd_12_joblib_for_serialization_and_deserialization_of_models_as_pickle_files': 5, 'd_13_slack_for_casual_communication_with_a_data_team': 4, 'e_1_group_work': 5, 'e_2_quizzes_at_the_end_of_each_module': 5, 'e_3_lab_manuals': 5, 'e_4_required_lab_work_submissions_at_the_end_of_each_module': 4, 'e_5_labs_that_require_you_to_use_git_to_work_in_a_team_as_opposed_to_working_alone': 4, 'e_6_labs_that_have_hidden_bonus_marks_or_advanced_level_submissions_for_extra_marks_in_addition_to_the_baseline': 4, 'e_7_supplementary_videos_to_watch_as_an_additional_explanation_of_a_topic': 5, 'e_8_supplementary_content_to_read': 5, 'e_9_lecture_slides_used_during_the_class': 5, 'e_10_lecture_notes_on_some_of_the_lecture_slides': 5, 'e_11_the_quality_of_the_lectures_given': 4, 'e_12_the_separation_of_theory_during_virtual_classes_and_practicals_during_in-person_classes': 5}",positive
